car   motorbike   bus   truck   person
4   0   0   0   0
5   0   0   0   1
6   0   0   0   1
7   0   0   0   1
7   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   1   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   1   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   1   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   1   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
6   0   0   0   1
7   0   0   0   1
8   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
7   0   0   0   1
8   0   0   0   1
